ConsumerNeeds-end,1,99
Personality-end,0,99
Personality-Agreeableness-end,0,99
Personality-Conscientiousness-end,0.20,99
Personality-Openness-end,0.20,94
Personality-IntroversionExtraversion-end,0.20,92
Personality-EmotionalRange-end,0.20,91
Personality-Agreeableness-Altruism-end,0.033,96
Personality-Agreeableness-Sympathy-end,0.033,67
Personality-Agreeableness-Upcompromising-end,0.033,65
Personality-Agreeableness-Trust-end,0.033,78
Personality-Agreeableness-Coopertaion-end,0.033,34
Personality-Agreeableness-Modesty-end,0.033,23
Values-end,1,99,09
